# Atomic Line List version: 3.00b3   Constructed: 2021-05-04 10:19 GMT
# Wavelength range: 3800 - 9000   Unit: Angstrom   Type: Air
# Radial velocity: 0 km/s
# Wavelength accuracy upper limit: 5%
# Element/Spectrum: H  I, He I-II, O I-IV, C I-IV, N I-V, Si I-IV, Mg I-IV, S I-IV (missing Ne I-IV, Ar I-IV)
# Minimum line strength: no restrictions
# Include lines without atomic data: true
# Minimum abundance: no minimum
# Lower level energy range: no restrictions   Unit: cm^-1
# Upper level energy range: no restrictions
# Maximum for principal quantum number n: 4 (+ no restrictions for H I, + some He n>4 at the bottom, + n5-12 with -log(gf) > 0 for the above elements)
# Transition types included: Nebular (E1,E2)
# Transitions from auto-ionizing levels: included
# Comment code: A-> activity, D -> diagnostic line (global), V -> vsini, Q -> affected by wind, Teff -> used for determination of Teff, RV_O/B/A -> good for RV determination

wl_air	   , dlamb  , spc   , tt, configuration                              , term               , J_i-J_k          , -lg(gf), tpf, level_energy(cm-1)     , ref    ,  name, comment
3821.532   , 9.3e-03, O II  , E1,       2s2.2p2.(3P).3p-2s2.2p2.(3P).4s      ,       2Po-2P       ,    1/2 - 1/2     , -0.8915,  15,  214169.92 -  240330.01, ASD    ,      ,
3822.0339  , 1.3e-03, N I   , E1,       2s2.2p2.(3P).3s-2s2.2p2.(1D).3p      ,        2P-2Po      ,    1/2 - 1/2     , -2.1017,   3,   86137.35 -  112294.01, ASD    ,      ,
3822.5769  , 1.3e-03, O I   , E1,      2s2.2p3.(2Do).3s-2s2.2p3.(2Po).3p     ,       3Do-3D       ,      3 - 2       , -2.8940,   3,  101135.41 -  127288.35, ASD    ,      ,
3823.4136  , 1.3e-03, O I   , E1,      2s2.2p3.(2Do).3s-2s2.2p3.(2Po).3p     ,       3Do-3D       ,      3 - 3       , -1.9910,   3,  101135.41 -  127282.63, ASD    ,      ,
3823.8679  , 1.3e-03, O I   , E1,      2s2.2p3.(2Do).3s-2s2.2p3.(2Po).3p     ,       3Do-3D       ,      2 - 1       , -2.9099,   3,  101147.53 -  127291.64, ASD    ,      ,
3823.93    , 1.3e-01, N IV  , E1,                 2p.3p-2s.4p                ,        1P-1Po      ,      1 - 1       , -1.0175,   3,  480884.20 -  507027.90, ASD    ,      ,
3824.3491  , 1.3e-03, O I   , E1,      2s2.2p3.(2Do).3s-2s2.2p3.(2Po).3p     ,       3Do-3D       ,      2 - 2       , -2.2444,   3,  101147.53 -  127288.35, ASD    ,      ,
3824.525   , 1.0e-02, N II  , E1,       2s2.2p.(2Po).4p-2s.2p2.(4P).3p       ,        3P-3Do      ,      0 - 1       , -0.8973,   3,  203162.28 -  229301.90, 030    ,      ,
3824.875   , 1.0e-02, N II  , E1,       2s2.2p.(2Po).4p-2s.2p2.(4P).3p       ,        3P-3Do      ,      1 - 2       , -0.5452,   3,  203188.83 -  229326.06, 030    ,      ,
3825.0232  , 1.3e-03, O I   , E1,      2s2.2p3.(2Do).3s-2s2.2p3.(2Po).3p     ,       3Do-3D       ,      1 - 1       , -2.4329,   3,  101155.42 -  127291.64, ASD    ,      ,
