# Atomic Line List version: 3.00b3   Constructed: 2021-05-04 10:19 GMT
# Wavelength range: 3800 - 9000   Unit: Angstrom   Type: Air
# Radial velocity: 0 km/s
# Wavelength accuracy upper limit: 5%
# Element/Spectrum: H  I, He I-II, O I-IV, C I-IV, N I-V, Si I-IV, Mg I-IV, S I-IV (missing Ne I-IV, Ar I-IV)
# Minimum line strength: no restrictions
# Include lines without atomic data: true
# Minimum abundance: no minimum
# Lower level energy range: no restrictions   Unit: cm^-1
# Upper level energy range: no restrictions
# Maximum for principal quantum number n: 4 (+ no restrictions for H I, + some He n>4 at the bottom, + n5-12 with -log(gf) > 0 for the above elements)
# Transition types included: Nebular (E1,E2)
# Transitions from auto-ionizing levels: included
# Comment code: A-> activity, D -> diagnostic line (global), V -> vsini, Q -> affected by wind, Teff -> used for determination of Teff, RV_O/B/A -> good for RV determination

wl_air	   , dlamb  , spc   , tt, configuration                              , term               , J_i-J_k          , -lg(gf), tpf, level_energy(cm-1)     , ref    ,  name, comment
4367.061   , 1.7e-02, S II  , E1,       3s2.3p2.(1S).3d-3s2.3p2.(1D<2>).4f   ,        2D-2[2]o    ,    5/2 - 5/2     ,        ,    ,  148886.57 -  171778.83, ASD    ,      ,
4368.1928  , 1.7e-03, O I   , E1,      2s2.2p3.(4So).3s-2s2.2p3.(4So).4p     ,       3So-3P       ,      1 - 0       , -2.5794,   3,   76794.98 -   99681.31, ASD    ,      ,
4368.2424  , 1.7e-03, O I   , E1,      2s2.2p3.(4So).3s-2s2.2p3.(4So).4p     ,       3So-3P       ,      1 - 2       , -1.8805,   3,   76794.98 -   99681.05, ASD    ,      ,
4368.2579  , 1.7e-03, O I   , E1,      2s2.2p3.(4So).3s-2s2.2p3.(4So).4p     ,       3So-3P       ,      1 - 1       , -2.1023,   3,   76794.98 -   99680.97, ASD    ,      ,
4368.315   , 1.7e-02, C II  , E1,        2s.2p.(3Po).3d-2s.2p.(3Po).4f       ,       4Po-4D       ,    5/2 - 3/2     , -0.9617,  24,  198844.00 -  221729.69, ASD    ,      ,
4369.2716  , 1.7e-03, O II  , E1,       2s2.2p2.(3P).3p-2s2.2p2.(3P).3d      ,       2Do-2D       ,    3/2 - 3/2     , -0.3824,  15,  211522.12 -  234402.80, ASD    ,      ,
4369.799   , 1.7e-02, S II  , E1,       3s2.3p2.(1S).3d-3s2.3p2.(1D<2>).4f   ,        2D-2[2]o    ,    3/2 - 3/2     ,        ,    ,  148900.91 -  171778.83, ASD    ,      ,
4369.799   , 1.7e-02, S II  , E1,       3s2.3p2.(1S).3d-3s2.3p2.(1D<2>).4f   ,        2D-2[2]o    ,    3/2 - 5/2     ,        ,    ,  148900.91 -  171778.83, ASD    ,      ,
4369.871   , 1.7e-02, C II  , E1,        2s.2p.(3Po).3d-2s.2p.(3Po).4f       ,       4Po-4D       ,    3/2 - 1/2     , -0.7327,  24,  198865.25 -  221742.79, ASD    ,      ,
4369.921   , 1.7e-02, S II  , E1,       3s2.3p2.(1D).3d-3s2.3p2.(3P<2>).4f   ,        2F-2[3]o    ,    5/2 - 5/2     ,        ,    ,  138509.17 -  161386.45, ASD    ,      ,
4370.4492  , 1.7e-03, O I   , E1,      2s2.2p3.(4So).4d-2s2.2p3.(2Do).4p     ,       3Do-3D       ,      3 - 2       , -6.9903,   3,  102908.37 -  125782.89, ASD    ,      ,
4370.4624  , 1.7e-03, O I   , E1,      2s2.2p3.(4So).4d-2s2.2p3.(2Do).4p     ,       3Do-3D       ,      2 - 2       , -6.3406,   3,  102908.44 -  125782.89, ASD    ,      ,
4370.4712  , 1.7e-03, O I   , E1,      2s2.2p3.(4So).4d-2s2.2p3.(2Do).4p     ,       3Do-3D       ,      1 - 2       , -7.0061,   3,  102908.49 -  125782.89, ASD    ,      ,
4371.241   , 1.2e-02, O II  , E1,       2s2.2p2.(3P).3d-2s2.2p2.(3P).4f.Go   ,        2F-G[4]o    ,    7/2 - 7/2     ,        ,    ,  232959.21 -  255829.58, ASD    ,      ,
4371.259   , 1.4e-02, N II  , E1,       2s2.2p.(2Po).3d-2s.2p2.(4P).3s       ,       3Po-3P       ,      1 - 1       , -4.4790,   3,  188908.97 -  211779.25, 030    ,      ,
4371.3952  , 1.7e-03, O I   , E1,      2s2.2p3.(4So).4d-2s2.2p3.(2Do).4p     ,       3Do-3D       ,      2 - 1       , -7.0062,   3,  102908.44 -  125778.01, ASD    ,      ,
4371.4040  , 1.7e-03, O I   , E1,      2s2.2p3.(4So).4d-2s2.2p3.(2Do).4p     ,       3Do-3D       ,      1 - 1       , -6.5291,   3,  102908.49 -  125778.01, ASD    ,      ,
4371.6089  , 1.7e-03, O II  , E1,       2s2.2p2.(3P).3d-2s2.2p2.(3P).4f.Go   ,        2F-G[4]o    ,    7/2 - 9/2     ,        ,    ,  232959.21 -  255827.66, ASD    ,      ,
4371.691   , 1.7e-02, S II  , E1,       3s2.3p2.(1D).4d-3s2.3p2.(1S<0>).4f   ,        2F-0[3]o    ,    7/2 - 5/2     ,        ,    ,  164337.61 -  187205.6 , ASD    ,      ,
4371.691   , 1.7e-02, S II  , E1,       3s2.3p2.(1D).4d-3s2.3p2.(1S<0>).4f   ,        2F-0[3]o    ,    7/2 - 7/2     ,        ,    ,  164337.61 -  187205.6 , ASD    ,      ,
4371.8628  , 1.7e-03, O I   , E1,      2s2.2p3.(4So).4d-2s2.2p3.(2Do).4p     ,       3Do-3D       ,      3 - 3       , -6.0874,   3,  102908.37 -  125775.49, ASD    ,      ,
4371.8760  , 1.7e-03, O I   , E1,      2s2.2p3.(4So).4d-2s2.2p3.(2Do).4p     ,       3Do-3D       ,      2 - 3       , -6.9905,   3,  102908.44 -  125775.49, ASD    ,      ,
4372.375   , 1.7e-02, C II  , E1,        2s.2p.(3Po).3d-2s.2p.(3Po).4f       ,       4Po-4D       ,    3/2 - 3/2     ,  0.0548,  24,  198865.25 -  221729.69, ASD    ,      ,
4372.501   , 1.7e-02, C II  , E1,        2s.2p.(3Po).3d-2s.2p.(3Po).4f       ,       4Po-4D       ,    1/2 - 1/2     , -0.0400,  24,  198879.01 -  221742.79, ASD    ,      ,
4372.515   , 1.7e-02, C II  , E1,        2s.2p.(3Po).3d-2s.2p.(3Po).4f       ,       4Po-4D       ,    5/2 - 5/2     , -0.0441,  24,  198844.00 -  221707.71, ASD    ,      ,
4373.517   , 1.7e-02, S II  , E1,       3s2.3p2.(1D).3d-3s2.3p2.(3P<2>).4f   ,        2F-2[3]o    ,    7/2 - 5/2     ,        ,    ,  138527.98 -  161386.45, ASD    ,      ,
4374.281   , 1.7e-02, C II  , E1,        2s.2p.(3Po).3d-2s.2p.(3Po).4f       ,       4Po-4D       ,    5/2 - 7/2     ,  0.6352,  24,  198844.00 -  221698.48, ASD    ,      ,
4374.3223  , 1.7e-03, O II  , E1,       2s2.2p2.(3P).3d-2s2.2p2.(3P).4f.Do   ,        2F-D[2]o    ,    7/2 - 5/2     ,        ,    ,  232959.21 -  255813.47, ASD    ,      ,
4375.008   , 1.7e-02, C II  , E1,        2s.2p.(3Po).3d-2s.2p.(3Po).4f       ,       4Po-4D       ,    1/2 - 3/2     , -0.0585,  24,  198879.01 -  221729.69, ASD    ,      ,
4375.876   , 1.7e-02, O III , E1,       2s2.2p.(2Po).3d-2s.2p2.(4P).3s       ,       3Do-3P       ,      2 - 1       , -1.1186,   3,  327278.30 -  350124.45, 039    ,      ,
4376.582   , 1.7e-02, C II  , E1,        2s.2p.(3Po).3d-2s.2p.(3Po).4f       ,       4Po-4D       ,    3/2 - 5/2     ,  0.3121,  24,  198865.25 -  221707.71, ASD    ,      ,
4376.630   , 1.4e-02, N II  , E1,       2s2.2p.(2Po).3d-2s.2p2.(4P).3s       ,       3Po-3P       ,      0 - 1       , -4.3546,   3,  188937.04 -  211779.25, 030    ,      ,
4377.019   , 1.4e-02, N II  , E1,       2s2.2p.(2Po).3d-2s.2p2.(4P).3s       ,       3Po-3P       ,      1 - 0       , -4.3546,   3,  188908.97 -  211749.15, 030    ,      ,
4378.029   , 1.7e-02, O II  , E1,       2s2.2p2.(1D).3d-2s2.2p2.(1D).4f.Fo   ,        2D-F[3]o    ,    3/2 - 5/2     ,        ,    ,  253046.74 -  275881.65, ASD    ,      ,
4378.428   , 1.7e-02, O II  , E1,       2s2.2p2.(1D).3d-2s2.2p2.(1D).4f.Fo   ,        2D-F[3]o    ,    5/2 - 5/2     ,        ,    ,  253048.82 -  275881.65, ASD    ,      ,
4378.428   , 1.7e-02, O II  , E1,       2s2.2p2.(1D).3d-2s2.2p2.(1D).4f.Fo   ,        2D-F[3]o    ,    5/2 - 7/2     ,        ,    ,  253048.82 -  275881.65, ASD    ,      ,
4378.547   , 1.7e-02, S II  , E1,       3s2.3p2.(1D).3d-3s2.3p2.(3P<2>).4f   ,        2F-2[4]o    ,    7/2 - 9/2     ,        ,    ,  138527.98 -  161360.19, ASD    ,      ,
4378.59    , 1.7e-01, Mg III, E1, 2s2.2p5.(2Po<3/2>).4p-2s2.2p5.(2Po<1/2>).4d,  3/2[3/2]-1/2[3/2]o,      1 - 1       ,        ,    ,  562634.20 -  585466.20, ASD    ,      ,
4379.01    , 1.7e-01, Mg III, E1, 2s2.2p5.(2Po<3/2>).4p-2s2.2p5.(2Po<1/2>).4d,  3/2[5/2]-1/2[5/2]o,      3 - 2       ,        ,    ,  561798.70 -  584628.50, ASD    ,      ,
4380.798   , 1.7e-02, S II  , E1,       3s2.3p2.(1D).3d-3s2.3p2.(3P<2>).4f   ,        2F-2[4]o    ,    5/2 - 7/2     ,        ,    ,  138509.17 -  161329.65, ASD    ,      ,
4383.545   , 1.7e-02, S II  , E1,       3s2.3p2.(3P).3d-3s2.3p2.(1S).4p      ,        2D-2Po      ,    3/2 - 1/2     , -1.7613,  u3,  133360.86 -  156167.04, ASD    ,      ,
4384.412   , 1.7e-02, S II  , E1,       3s2.3p2.(1D).3d-3s2.3p2.(3P<2>).4f   ,        2F-2[4]o    ,    7/2 - 7/2     ,        ,    ,  138527.98 -  161329.65, ASD    ,      ,
4384.446   , 1.7e-02, O II  , E1,       2s2.2p2.(1D).3p-2s2.2p2.(3P).4d      ,       2Po-2P       ,    1/2 - 1/2     , -1.8789,   3,  232480.44 -  255281.93, ASD    ,      ,
4384.6995  , 1.7e-03, O II  , E1,       2s2.2p2.(3P).3d-2s2.2p2.(3P).4f.Go   ,        2F-G[3]o    ,    7/2 - 7/2     ,        ,    ,  232959.21 -  255759.38, ASD    ,      ,
4385.3252  , 1.7e-03, O II  , E1,       2s2.2p2.(3P).3d-2s2.2p2.(3P).4f.Go   ,        2F-G[3]o    ,    7/2 - 5/2     ,        ,    ,  232959.21 -  255756.13, ASD    ,      ,
4385.54    , 1.2e-01, N I   , E1,       2s2.2p2.(3P).3p-2s2.2p2.(1D).3d      ,       2Po-2S       ,    1/2 - 1/2     , -2.2932,   3,   97770.18 -  120566.00, ASD    ,      ,
4385.649   , 1.7e-02, O III , E1,       2s2.2p.(2Po).3d-2s.2p2.(4P).3s       ,       3Do-3P       ,      1 - 0       , -1.4717,   3,  327229.25 -  350024.49, 039    ,      ,
4392.41    , 1.2e-01, N I   , E1,       2s2.2p2.(3P).3p-2s2.2p2.(1D).3d      ,       2Po-2S       ,    3/2 - 1/2     , -1.9928,   3,   97805.84 -  120566.00, ASD    ,      ,
4392.43    , 1.2e-01, O I   , E1,      2s2.2p3.(4So).4p-2s2.2p3.(2Do).4s     ,        3P-3Do      ,      1 - 1       ,        ,    ,   99680.97 -  122441.00, ASD    ,      ,
4392.45    , 1.2e-01, O I   , E1,      2s2.2p3.(4So).4p-2s2.2p3.(2Do).4s     ,        3P-3Do      ,      2 - 1       ,        ,    ,   99681.05 -  122441.00, ASD    ,      ,
4392.50    , 1.2e-01, O I   , E1,      2s2.2p3.(4So).4p-2s2.2p3.(2Do).4s     ,        3P-3Do      ,      0 - 1       ,        ,    ,   99681.31 -  122441.00, ASD    ,      ,
4393.0     , 1.2e+00, O IV  , E1,        2s.2p.(3Po).4s-2s.2p.(3Po).4f       ,       2Po-2D       ,    3/2 - 5/2     , -2.1272,   3,  573901.00 -  596658.30, ASD    ,      ,
4393.435   , 1.7e-02, O II  , E1,       2s2.2p2.(1D).3p-2s2.2p2.(3P).4d      ,       2Po-2P       ,    3/2 - 1/2     , -2.1808,   3,  232527.09 -  255281.93, ASD    ,      ,
4393.94    , 1.2e-01, O I   , E1,      2s2.2p3.(4So).4p-2s2.2p3.(2Do).4s     ,        3P-3Do      ,      1 - 2       ,        ,    ,   99680.97 -  122433.20, ASD    ,      ,
4393.95    , 1.2e-01, O I   , E1,      2s2.2p3.(4So).4p-2s2.2p3.(2Do).4s     ,        3P-3Do      ,      2 - 2       ,        ,    ,   99681.05 -  122433.20, ASD    ,      ,
4394.8     , 1.2e+00, Mg I  , E1,                 3s.4d-3p.4s                ,        3D-3Po      ,      2 - 1       ,        ,    ,   54192.29 -   76940.00, ASD    ,      ,
4394.8     , 1.2e+00, Mg I  , E1,                 3s.4d-3p.4s                ,        3D-3Po      ,      1 - 1       ,        ,    ,   54192.33 -   76940.00, ASD    ,      ,
4395.471   , 1.7e-02, S II  , E1,       3s2.3p2.(1D).3d-3s2.3p2.(3P<2>).4f   ,        2F-2[2]o    ,    5/2 - 5/2     ,        ,    ,  138509.17 -  161253.47, ASD    ,      ,
4395.9347  , 1.7e-03, O II  , E1,       2s2.2p2.(3P).3p-2s2.2p2.(3P).3d      ,       2Do-2D       ,    5/2 - 5/2     , -0.1635,  15,  211712.73 -  234454.63, ASD    ,      ,
4396.56    , 1.2e-01, O I   , E1,      2s2.2p3.(4So).4p-2s2.2p3.(2Do).4s     ,        3P-3Do      ,      2 - 3       ,        ,    ,   99681.05 -  122419.70, ASD    ,      ,
4397.8233  , 1.7e-03, O II  , E1,       2s2.2p2.(3P).3d-2s2.2p2.(3P).4f.Do   ,        2F-D[3]o    ,    7/2 - 7/2     ,        ,    ,  232959.21 -  255691.35, ASD    ,      ,
4398.0955  , 1.7e-03, O II  , E1,       2s2.2p2.(3P).3d-2s2.2p2.(3P).4f.Do   ,        2F-D[3]o    ,    7/2 - 5/2     ,        ,    ,  232959.21 -  255689.94, ASD    ,      ,
4399.109   , 1.7e-02, S II  , E1,       3s2.3p2.(1D).3d-3s2.3p2.(3P<2>).4f   ,        2F-2[2]o    ,    7/2 - 5/2     ,        ,    ,  138527.98 -  161253.47, ASD    ,      ,
4401.746   , 1.7e-02, S II  , E1,       3s2.3p2.(1D).3d-3s2.3p2.(3P<2>).4f   ,        2F-2[2]o    ,    5/2 - 3/2     ,        ,    ,  138509.17 -  161221.05, ASD    ,      ,
4404.725   , 1.7e-02, S II  , E1,       3s2.3p2.(1D).4p-3s2.3p2.(1D).4d      ,       2Po-2P       ,    1/2 - 3/2     , -0.6819,   3,  143488.95 -  166185.47, ASD    ,      ,
4405.381   , 1.7e-02, O II  , E1,       2s2.2p2.(1D).3p-2s2.2p2.(3P).4d      ,       2Po-2P       ,    1/2 - 3/2     , -2.1820,   3,  232480.44 -  255173.58, ASD    ,      ,
4405.751   , 1.7e-02, C III , E1,                 2s.4p-2p.3p                ,       1Po-1S       ,      1 - 0       , -0.8917, ur3,  322404.20 -  345095.43, ASD    ,      ,
4405.9777  , 1.7e-03, O II  , E1,       2s2.2p2.(3P).3p-2s2.2p2.(3P).3d      ,       2Do-2D       ,    5/2 - 3/2     , -1.3410,  15,  211712.73 -  234402.80, ASD    ,      ,
4410.5     , 1.7e+00, O IV  , E1,        2s.2p.(3Po).4p-2s.2p.(3Po).4d       ,        2P-2Po      ,    1/2 - 1/2     , -0.6071,   3,  575202.00 -  597869.00, ASD    ,      ,
4411.152   , 1.7e-02, C II  , E1,        2s.2p.(3Po).3d-2s.2p.(3Po).4f       ,       2Do-2F       ,    3/2 - 5/2     ,  0.5105,  24,  198425.43 -  221088.88, ASD    ,      ,
4411.306   , 1.7e-02, S II  , E1,       3s2.3p2.(1D).4p-3s2.3p2.(1D).4d      ,       2Po-2P       ,    1/2 - 1/2     , -0.3815,   3,  143488.95 -  166151.61, ASD    ,      ,
4411.510   , 1.7e-02, C II  , E1,        2s.2p.(3Po).3d-2s.2p.(3Po).4f       ,       2Do-2F       ,    5/2 - 7/2     ,  0.5297,  24,  198436.31 -  221097.92, ASD    ,      ,
4413.271   , 1.7e-02, C II  , E1,        2s.2p.(3Po).3d-2s.2p.(3Po).4f       ,       2Do-2F       ,    5/2 - 5/2     , -1.5034,  24,  198436.31 -  221088.88, ASD    ,      ,
4414.456   , 1.7e-02, O II  , E1,       2s2.2p2.(1D).3p-2s2.2p2.(3P).4d      ,       2Po-2P       ,    3/2 - 3/2     , -1.4839,   3,  232527.09 -  255173.58, ASD    ,      ,
4414.8985  , 1.7e-03, O II  , E1,       2s2.2p2.(3P).3s-2s2.2p2.(3P).3p      ,        2P-2Do      ,    3/2 - 5/2     ,  0.2072,  15,  189068.51 -  211712.73, ASD    ,      ,
4416.9748  , 1.7e-03, O II  , E1,       2s2.2p2.(3P).3s-2s2.2p2.(3P).3p      ,        2P-2Do      ,    1/2 - 3/2     , -0.0437,  15,  188888.54 -  211522.12, ASD    ,      ,
4417.100   , 1.4e-02, N II  , E1,       2s2.2p.(2Po).3d-2s2.2p.(2Po).4f.D    ,       3Po-D[3/2]   ,      2 - 2       ,        ,    ,  188857.17 -  211490.10, 030    ,      ,
4417.827   , 1.4e-02, N II  , E1,       2s2.2p.(2Po).3d-2s2.2p.(2Po).4f.D    ,       3Po-D[3/2]   ,      2 - 1       ,        ,    ,  188857.17 -  211486.38, 030    ,      ,
4418.781   , 1.7e-02, S III , E1,             3s2.3p.4s-3s2.3p.4p            ,       3Po-3D       ,      2 - 1       , -1.6939,  19,  147147.11 -  169771.43, ASD    ,      ,
4418.87    , 1.2e-01, O II  , E1,       2s2.2p2.(1S).3p-2s2.2p2.(1D).4d      ,       2Po-2P       ,    1/2 - 3/2     , -3.3041,   3,  252987.23 -  275611.1 , ASD    ,      ,
4420.07    , 1.2e-01, O II  , E1,       2s2.2p2.(1S).3p-2s2.2p2.(1D).4d      ,       2Po-2P       ,    3/2 - 3/2     , -2.6053,   3,  252993.39 -  275611.1 , ASD    ,      ,
4423.18    , 1.7e-01, Mg III, E1, 2s2.2p5.(2Po<3/2>).4p-2s2.2p5.(2Po<1/2>).4d,  3/2[5/2]-1/2[3/2]o,      2 - 2       ,        ,    ,  562136.10 -  584737.90, ASD    ,      ,
4424.07    , 1.7e-01, Mg III, E1, 2s2.2p5.(2Po<3/2>).4p-2s2.2p5.(2Po<1/2>).4d,  3/2[5/2]-1/2[5/2]o,      2 - 3       ,        ,    ,  562136.10 -  584733.40, ASD    ,      ,
4426.87    , 1.2e-01, N I   , E1,       2s2.2p2.(1D).3s-2s2.2p2.(1D).4p      ,        2D-2Fo      ,    5/2 - 5/2     ,        ,    ,   99663.43 -  122246.40, ASD    ,      ,
4426.87    , 1.2e-01, N I   , E1,       2s2.2p2.(1D).3s-2s2.2p2.(1D).4p      ,        2D-2Fo      ,    5/2 - 7/2     ,        ,    ,   99663.43 -  122246.40, ASD    ,      ,
4426.97    , 1.2e-01, N I   , E1,       2s2.2p2.(1D).3s-2s2.2p2.(1D).4p      ,        2D-2Fo      ,    3/2 - 5/2     ,        ,    ,   99663.91 -  122246.40, ASD    ,      ,
4427.233   , 1.4e-02, N II  , E1,       2s2.2p.(2Po).3d-2s2.2p.(2Po).4f.D    ,       3Po-D[3/2]   ,      1 - 2       ,        ,    ,  188908.97 -  211490.10, 030    ,      ,
4427.963   , 1.4e-02, N II  , E1,       2s2.2p.(2Po).3d-2s2.2p.(2Po).4f.D    ,       3Po-D[3/2]   ,      1 - 1       ,        ,    ,  188908.97 -  211486.38, 030    ,      ,
4431.005   , 1.8e-02, S II  , E1,       3s2.3p2.(1D).4p-3s2.3p2.(1D).4d      ,       2Po-2P       ,    3/2 - 3/2     ,  0.0145,   3,  143623.56 -  166185.47, ASD    ,      ,
4431.814   , 1.4e-02, N II  , E1,       2s2.2p.(2Po).3d-2s2.2p.(2Po).4f.D    ,       3Po-D[5/2]   ,      2 - 2       ,        ,    ,  188857.17 -  211414.96, 030    ,      ,
4432.736   , 1.4e-02, N II  , E1,       2s2.2p.(2Po).3d-2s2.2p.(2Po).4f.D    ,       3Po-D[5/2]   ,      2 - 3       ,        ,    ,  188857.17 -  211410.27, 030    ,      ,
4433.475   , 1.4e-02, N II  , E1,       2s2.2p.(2Po).3d-2s2.2p.(2Po).4f.D    ,       3Po-D[3/2]   ,      0 - 1       ,        ,    ,  188937.04 -  211486.38, 030    ,      ,
4435.11    , 1.2e-01, N I   , E1,       2s2.2p2.(3P).3p-2s2.2p2.(1D).3d      ,       2Po-2P       ,    1/2 - 1/2     , -1.7534, ASD,   97770.18 -  120311.20, ASD    ,      ,
4435.43    , 1.2e-01, N I   , E1,       2s2.2p2.(3P).3p-2s2.2p2.(1D).3d      ,       2Po-2P       ,    1/2 - 3/2     , -2.0523, ASD,   97770.18 -  120309.60, ASD    ,      ,
4437.665   , 1.8e-02, S II  , E1,       3s2.3p2.(1D).4p-3s2.3p2.(1D).4d      ,       2Po-2P       ,    3/2 - 1/2     , -0.6852,   3,  143623.56 -  166151.61, ASD    ,      ,
4437.93    , 1.8e-01, Mg III, E1, 2s2.2p5.(2Po<3/2>).4p-2s2.2p5.(2Po<1/2>).4d,  3/2[3/2]-1/2[3/2]o,      2 - 1       ,        ,    ,  562939.50 -  585466.20, ASD    ,      ,
4439.482   , 1.2e-02, O II  , E1,       2s2.2p2.(3P).3d-2s.2p3.(5So).3s      ,        4P-4So      ,    5/2 - 3/2     , -2.7673,   3,  232462.72 -  254981.55, ASD    ,      ,
4439.6     , 1.8e+00, O IV  , E1,        2s.2p.(3Po).4p-2s.2p.(3Po).4d       ,        2P-2Po      ,    1/2 - 3/2     , -0.9110,   3,  575202.00 -  597720.00, ASD    ,      ,
4439.817   , 1.8e-02, S III , E1,             3s2.3p.3d-3s2.3p.4p            ,       3Do-3D       ,      1 - 2       , -1.3291,  19,  147551.60 -  170068.73, ASD    ,      ,
4440.093   , 1.8e-02, O III , E1,        2s.2p2.(4P).3p-2s.2p2.(4P).3d       ,       5So-5P       ,      2 - 1       , -0.4073,   3,  376079.92 -  398595.65, 039    ,      ,
4442.015   , 1.4e-02, N II  , E1,       2s2.2p.(2Po).3d-2s2.2p.(2Po).4f.D    ,       3Po-D[5/2]   ,      1 - 2       ,        ,    ,  188908.97 -  211414.96, 030    ,      ,
4442.14    , 1.2e-01, N I   , E1,       2s2.2p2.(3P).3p-2s2.2p2.(1D).3d      ,       2Po-2P       ,    3/2 - 1/2     , -2.0785, ASD,   97805.84 -  120311.20, ASD    ,      ,
4442.45    , 1.2e-01, N I   , E1,       2s2.2p2.(3P).3p-2s2.2p2.(1D).3d      ,       2Po-2P       ,    3/2 - 3/2     , -1.3457, ASD,   97805.84 -  120309.60, ASD    ,      ,
4442.8     , 1.8e+00, Mg I  , E1,                   3p2-3p.4d                ,        1S-1Po      ,      0 - 1       ,        ,    ,   68275.00 -   90777.00, ASD    ,      ,
4443.010   , 1.8e-02, O II  , E1,       2s2.2p2.(1D).3p-2s2.2p2.(1D).3d      ,       2Fo-2F       ,    5/2 - 5/2     , -0.0474,   3,  228723.84 -  251224.79, ASD    ,      ,
4443.150   , 1.8e-02, C III , E1,                 2s.4d-2p.3d                ,        1D-1Po      ,      2 - 1       , -2.1438,   3,  324212.49 -  346712.73, ASD    ,      ,
4443.523   , 1.8e-02, O II  , E1,       2s2.2p2.(1D).3p-2s2.2p2.(1D).3d      ,       2Fo-2F       ,    5/2 - 7/2     , -1.3485,   3,  228723.84 -  251222.19, ASD    ,      ,
4444.4     , 1.8e+00, O IV  , E1,        2s.2p.(3Po).4p-2s.2p.(3Po).4d       ,        2P-2Po      ,    3/2 - 1/2     , -0.9114,   3,  575375.00 -  597869.00, ASD    ,      ,
4444.70    , 1.8e-01, Mg III, E1, 2s2.2p5.(2Po<3/2>).4p-2s2.2p5.(2Po<1/2>).4d,  3/2[5/2]-1/2[5/2]o,      2 - 2       ,        ,    ,  562136.10 -  584628.50, ASD    ,      ,
4446.786   , 1.8e-02, O II  , E1,       2s2.2p2.(3P).3d-2s2.2p2.(3P).4f.Do   ,        2P-D[1]o    ,    3/2 - 1/2     ,        ,    ,  233430.53 -  255912.37, ASD    ,      ,
4446.796   , 1.8e-02, O II  , E1,       2s2.2p2.(3P).3d-2s2.2p2.(3P).4f.Do   ,        2P-D[1]o    ,    3/2 - 3/2     ,        ,    ,  233430.53 -  255912.32, ASD    ,      ,
4447.030   , 1.4e-02, N II  , E1,       2s2.2p.(2Po).3p-2s2.2p.(2Po).3d      ,        1P-1Do      ,      1 - 2       ,  0.2212,  12,  164610.56 -  187091.17, 030    ,      ,
4447.676   , 1.8e-02, O II  , E1,       2s2.2p2.(1D).3p-2s2.2p2.(1D).3d      ,       2Fo-2F       ,    7/2 - 5/2     , -1.3489,   3,  228747.45 -  251224.79, ASD    ,      ,
4447.694   , 1.8e-02, O III , E1,        2s.2p2.(4P).3p-2s.2p2.(4P).3d       ,       5So-5P       ,      2 - 2       , -0.1862,   3,  376079.92 -  398557.17, 039    ,      ,
4448.191   , 1.8e-02, O II  , E1,       2s2.2p2.(1D).3p-2s2.2p2.(1D).3d      ,       2Fo-2F       ,    7/2 - 7/2     ,  0.0825,   3,  228747.45 -  251222.19, ASD    ,      ,
4448.373   , 1.8e-02, O II  , E1,       2s2.2p2.(1D).3d-2s2.2p2.(1D).4f.Po   ,        2P-P[1]o    ,    1/2 - 1/2     ,        ,    ,  253789.99 -  276263.81, ASD    ,      ,
4448.373   , 1.8e-02, O II  , E1,       2s2.2p2.(1D).3d-2s2.2p2.(1D).4f.Po   ,        2P-P[1]o    ,    1/2 - 3/2     ,        ,    ,  253789.99 -  276263.81, ASD    ,      ,
4448.850   , 1.8e-02, O II  , E1,       2s2.2p2.(1D).3d-2s2.2p2.(1D).4f.Po   ,        2P-P[1]o    ,    3/2 - 1/2     ,        ,    ,  253792.40 -  276263.81, ASD    ,      ,
4448.850   , 1.8e-02, O II  , E1,       2s2.2p2.(1D).3d-2s2.2p2.(1D).4f.Po   ,        2P-P[1]o    ,    3/2 - 3/2     ,        ,    ,  253792.40 -  276263.81, ASD    ,      ,
4449.64    , 1.8e-01, S IV  , E1,        3s.3p.(1Po).3d-3s.3p.(3Po).4p       ,       2Po-2D       ,    3/2 - 3/2     , -2.2388,  R3,  278642.40 -  301109.80, ASD    ,      ,
4450.716   , 1.8e-02, S II  , E1,       3s2.3p2.(3P).3d-3s2.3p2.(1S).4p      ,        2D-2Po      ,    5/2 - 3/2     , -1.5126,  u3,  133814.84 -  156276.83, ASD    ,      ,
4452.3785  , 1.8e-03, O II  , E1,       2s2.2p2.(3P).3s-2s2.2p2.(3P).3p      ,        2P-2Do      ,    3/2 - 3/2     , -0.7663,  15,  189068.51 -  211522.12, ASD    ,      ,
4453.966   , 1.3e-02, O II  , E1,       2s2.2p2.(3P).3d-2s.2p3.(5So).3s      ,        4P-4So      ,    3/2 - 3/2     , -2.9448,   3,  232535.95 -  254981.55, ASD    ,      ,
4456.45    , 1.8e-01, S IV  , E1,        3s.3p.(1Po).3d-3s.3p.(3Po).4p       ,       2Po-2D       ,    1/2 - 3/2     , -1.5405,  R3,  278676.70 -  301109.80, ASD    ,      ,
4458.59    , 1.3e-01, N I   , E1,       2s2.2p2.(3P).3p-2s2.2p2.(1D).4s      ,       2Do-2D       ,    3/2 - 3/2     ,        ,    ,   96787.68 -  119210.00, ASD    ,      ,
